period,town_code,town_name,county_pref,county_name,is_mountain,total_pop,n_source_counties,diversity_entropy,gini_concentration,top1_src_county,top1_src_cnt,top2_src_county,top2_src_cnt,top3_src_county,top3_src_cnt
2018H2,1000202,宜蘭(T02),10002,宜蘭,0,985,15,0.7376,0.8548,宜蘭,842,新北,28,臺北,25
2018H2,6500023,新北(T23),65000,新北,0,59,12,2.2008,0.411,新北,12,苗栗,9,臺北,9
2018H2,6500010,新北(T10),65000,新北,0,188,14,2.1181,0.5471,新北,51,臺北,36,桃園,22
2018H2,1000402,新竹縣(T02),10004,新竹縣,0,2997,19,1.2219,0.8474,新竹縣,1962,新竹市,549,桃園,191
2018H2,1000405,新竹縣(T05),10004,新竹縣,0,402,14,1.3664,0.7722,新竹縣,245,新竹市,52,桃園,49
2018H2,6400005,高雄(T05),64000,高雄,0,100,13,2.051,0.4862,高雄,42,桃園,10,臺中,7
2018H2,6300011,臺北(T11),63000,臺北,0,241,15,1.9694,0.6196,臺北,100,新北,25,宜蘭,25
2018H2,1000407,新竹縣(T07),10004,新竹縣,0,116,11,1.1812,0.7508,新竹縣,73,新竹市,27,桃園,5
2018H2,1000511,苗栗(T11),10005,苗栗,0,536,12,0.9418,0.7914,苗栗,425,新竹縣,31,桃園,19
2018H2,1001401,臺東(T01),10014,臺東,0,238,13,1.8257,0.5934,臺東,116,桃園,22,花蓮,18
2018H2,6400031,高雄(T31),64000,高雄,0,30,7,1.178,0.6095,高雄,19,宜蘭,6,臺南,1
2018H2,1000408,新竹縣(T08),10004,新竹縣,0,183,11,1.1624,0.7581,新竹縣,125,新竹市,25,桃園,14
2018H2,6300006,臺北(T06),63000,臺北,0,164,12,1.9722,0.5325,臺北,62,宜蘭,23,新竹縣,19
2018H2,6500011,新北(T11),65000,新北,0,248,13,2.0231,0.5608,臺北,74,新北,57,宜蘭,30
2018H2,6300003,臺北(T03),63000,臺北,0,261,16,2.0078,0.631,臺北,106,宜蘭,41,桃園,19
2018H2,1001513,卓溪鄉,10015,花蓮,1,145,9,1.0431,0.7126,花蓮,108,宜蘭,9,新北,7
2018H2,1001505,花蓮(T05),10015,花蓮,0,518,15,1.1406,0.7946,花蓮,385,宜蘭,38,桃園,18
2018H2,1001802,新竹市(T02),10018,新竹市,0,479,13,1.5633,0.7053,新竹市,205,新竹縣,158,桃園,36
2018H2,6700035,臺南(T35),67000,臺南,0,49,11,1.9611,0.4861,臺南,19,宜蘭,6,桃園,6
2018H2,6300007,臺北(T07),63000,臺北,0,240,14,2.0278,0.5804,臺北,88,新北,32,桃園,26
2018H2,1001501,花蓮(T01),10015,花蓮,0,535,16,1.2815,0.8022,花蓮,361,宜蘭,61,桃園,38
2018H2,1000703,彰化(T03),10007,彰化,0,31,11,1.8216,0.5103,彰化,15,新北,3,苗栗,3
2018H2,6600007,臺中(T07),66000,臺中,0,196,16,1.6967,0.692,臺中,109,南投,28,宜蘭,8
2018H2,1000211,南澳鄉,10002,宜蘭,1,4813,18,0.5769,0.8986,宜蘭,4295,桃園,150,新北,86
2018H2,6500008,新北(T08),65000,新北,0,252,14,1.8024,0.6678,新北,83,桃園,79,花蓮,24
2018H2,1000710,彰化(T10),10007,彰化,0,55,10,1.9563,0.4345,彰化,20,臺中,9,南投,6
2018H2,1000808,南投(T08),10008,南投,0,33,10,1.8231,0.5061,南投,14,臺中,5,桃園,4
2018H2,1000505,苗栗(T05),10005,苗栗,0,343,15,1.5688,0.7285,苗栗,198,新竹縣,40,新竹市,36
2018H2,1000804,南投(T04),10008,南投,0,39,8,1.6495,0.484,南投,18,臺中,6,臺北,4
2018H2,6600009,臺中(T09),66000,臺中,0,447,19,1.3873,0.7981,臺中,301,苗栗,37,南投,30
2018H2,6600016,臺中(T16),66000,臺中,0,90,12,1.5956,0.6574,臺中,50,南投,12,花蓮,8
2018H2,1000903,雲林(T03),10009,雲林,0,39,12,2.0515,0.4893,雲林,10,花蓮,10,臺中,6
2018H2,1000206,宜蘭(T06),10002,宜蘭,0,56,9,1.1145,0.6746,宜蘭,41,高雄,3,花蓮,3
2018H2,1000410,新竹縣(T10),10004,新竹縣,0,43,10,1.7698,0.5326,新竹縣,17,新竹市,11,臺中,4
2018H2,6400017,高雄(T17),64000,高雄,0,32,9,1.9094,0.4167,高雄,10,宜蘭,6,花蓮,5
2018H2,6800007,桃園(T07),68000,桃園,0,547,17,1.8628,0.696,桃園,254,宜蘭,63,新北,57
2018H2,1001701,基隆(T01),10017,基隆,0,140,10,1.4467,0.6514,基隆,81,宜蘭,23,新竹縣,8
2019H1,6300009,臺北(T09),63000,臺北,0,172,16,1.9111,0.6584,臺北,79,宜蘭,22,花蓮,16
2019H1,6600020,臺中(T20),66000,臺中,0,40,6,1.0183,0.625,臺中,28,南投,6,花蓮,2
2019H1,1000412,尖石鄉,10004,新竹縣,1,7935,20,1.0194,0.8824,新竹縣,5670,新竹市,1060,桃園,778
2019H1,1000506,苗栗(T06),10005,苗栗,0,61,10,1.4432,0.6377,苗栗,37,新竹縣,7,臺中,5
2019H1,1000406,新竹縣(T06),10004,新竹縣,0,228,10,1.5209,0.6246,新竹縣,127,新竹市,35,桃園,22
2019H1,1000401,新竹縣(T01),10004,新竹縣,0,339,14,1.696,0.6901,新竹縣,166,新竹市,63,桃園,36
2019H1,6300012,臺北(T12),63000,臺北,0,248,15,1.977,0.6177,臺北,105,新竹縣,31,新北,26
2019H1,1001801,新竹市(T01),10018,新竹市,0,510,18,1.6815,0.7569,新竹市,206,新竹縣,168,苗栗,28
2019H1,1000403,新竹縣(T03),10004,新竹縣,0,76,9,1.58,0.5819,新竹縣,32,桃園,17,新竹市,15
2019H1,1000513,苗栗(T13),10005,苗栗,0,38,9,1.6811,0.5322,苗栗,17,臺中,6,新竹縣,6
2019H1,6500002,新北(T02),65000,新北,0,304,17,2.0569,0.654,新北,96,臺北,65,宜蘭,33
2019H1,6600027,臺中(T27),66000,臺中,0,397,19,1.6085,0.7734,臺中,229,南投,54,苗栗,26
2019H1,6600023,臺中(T23),66000,臺中,0,72,14,1.977,0.5794,臺中,31,新竹縣,9,南投,7
2019H1,6700036,臺南(T36),67000,臺南,0,32,8,1.7046,0.4453,臺南,14,花蓮,4,臺北,4
2019H1,1000809,南投(T09),10008,南投,0,43,6,0.9365,0.655,南投,31,臺中,7,苗栗,2
2019H1,6800013,復興區,68000,桃園,0,7602,20,0.6552,0.9017,桃園,6639,新竹縣,298,新北,189
2019H1,6600012,臺中(T12),66000,臺中,0,53,11,1.7815,0.5626,臺中,25,南投,7,宜蘭,5
2019H1,6800003,桃園(T03),68000,桃園,0,2676,20,0.8306,0.8776,桃園,2236,新竹縣,115,新北,81
2019H1,1000209,宜蘭(T09),10002,宜蘭,0,215,11,0.9983,0.7662,宜蘭,166,花蓮,12,臺北,9
2019H1,6500007,新北(T07),65000,新北,0,260,13,1.8698,0.5953,新北,117,桃園,28,臺北,25
2019H1,6500017,新北(T17),65000,新北,0,158,14,2.2116,0.5027,桃園,36,宜蘭,26,新北,22
2019H1,6500013,新北(T13),65000,新北,0,336,14,1.8043,0.6446,新北,161,宜蘭,34,桃園,31
2019H1,6600029,和平區,66000,臺中,1,3774,20,0.748,0.8888,臺中,3224,南投,111,苗栗,106
2019H1,6400038,茂林區,64000,高雄,0,35,7,1.6746,0.3755,高雄,15,南投,5,臺中,4
2019H1,1000212,大同鄉,10002,宜蘭,1,5009,17,0.6565,0.8881,宜蘭,4346,花蓮,257,新北,92
2019H1,1000413,五峰鄉,10004,新竹縣,1,3352,18,0.7649,0.892,新竹縣,2756,新竹市,307,桃園,115
2019H1,1001704,基隆(T04),10017,基隆,0,46,10,1.7172,0.5522,基隆,22,宜蘭,7,桃園,5
2019H1,902003,902003(T3),90200,90200,0,46,13,2.2982,0.4013,金門,9,桃園,7,新竹縣,6
2019H1,1000204,宜蘭(T04),10002,宜蘭,0,44,8,0.8931,0.6989,宜蘭,35,苗栗,2,桃園,2
2019H1,6700034,臺南(T34),67000,臺南,0,41,9,1.7498,0.5041,臺南,17,花蓮,7,新北,6
2019H1,1000507,苗栗(T07),10005,苗栗,0,71,9,1.3473,0.6573,臺中,34,苗栗,24,新竹縣,5
2019H1,1001512,萬榮鄉,10015,花蓮,1,174,11,1.0824,0.7524,花蓮,129,桃園,13,宜蘭,11
2019H1,6600024,臺中(T24),66000,臺中,0,112,12,1.3657,0.7083,臺中,73,南投,10,苗栗,7
2019H1,1001507,花蓮(T07),10015,花蓮,0,51,9,1.696,0.4924,花蓮,25,宜蘭,7,臺中,4
2019H1,6600025,臺中(T25),66000,臺中,0,93,14,1.7716,0.6644,臺中,40,南投,23,桃園,7
2019H1,6800001,桃園(T01),68000,桃園,0,1172,20,1.7307,0.7462,桃園,658,新竹縣,88,宜蘭,74
2019H1,6800002,桃園(T02),68000,桃園,0,1779,20,1.5697,0.7758,桃園,1097,新竹縣,154,宜蘭,84
2019H1,1001703,基隆(T03),10017,基隆,0,38,9,1.7953,0.4854,基隆,13,宜蘭,9,新竹縣,5
2019H1,1000504,苗栗(T04),10005,苗栗,0,185,13,1.7048,0.6595,苗栗,94,新竹縣,22,新竹市,22
2019H1,1000801,南投(T01),10008,南投,0,102,9,1.3385,0.6536,南投,63,臺中,12,桃園,9
2019H1,6600013,臺中(T13),66000,臺中,0,112,11,1.6799,0.6006,臺中,55,南投,22,桃園,6
2019H1,1001328,屏東(T28),10013,屏東,1,37,8,1.6951,0.4628,屏東,16,桃園,6,臺中,4
