period,origin,origin_name,dest,dest_name,delta_weight
2017H1,64000,高雄,10014,臺東,2
2017H1,10002,宜蘭,09020,金門,2
2017H1,10015,花蓮,10014,臺東,-3
2017H1,10008,南投,10009,雲林,-2
2017H1,63000,臺北,10008,南投,-2
2017H1,10008,南投,66000,臺中,-18
2017H1,65000,新北,10007,彰化,-1
2017H1,10002,宜蘭,10017,基隆,4
2017H1,10005,苗栗,67000,臺南,-1
2017H1,64000,高雄,10007,彰化,1
2017H1,10015,花蓮,10013,屏東,-2
2017H1,10008,南投,10002,宜蘭,-1
2017H1,10016,澎湖,68000,桃園,1
2017H2,64000,高雄,10018,新竹市,-1
2017H2,10015,花蓮,10018,新竹市,-1
2017H2,10005,苗栗,10020,嘉義市,1
2017H2,68000,桃園,63000,臺北,-3
2017H2,10020,嘉義市,10018,新竹市,1
2017H2,10014,臺東,10005,苗栗,-1
2017H2,10014,臺東,10008,南投,-2
2017H2,10004,新竹縣,10013,屏東,-1
2017H2,10002,宜蘭,10004,新竹縣,-1
2017H2,63000,臺北,65000,新北,12
2017H2,10005,苗栗,64000,高雄,1
2017H2,10018,新竹市,10007,彰化,2
2017H2,63000,臺北,67000,臺南,1
2017H2,10008,南投,10007,彰化,1
2017H2,68000,桃園,10017,基隆,1
2017H2,10008,南投,10018,新竹市,1
2017H2,63000,臺北,10020,嘉義市,-1
2017H2,10017,基隆,68000,桃園,2
2017H2,10005,苗栗,68000,桃園,3
2017H2,10015,花蓮,09020,金門,1
2017H2,10002,宜蘭,68000,桃園,23
2017H2,68000,桃園,10004,新竹縣,-24
2017H2,10013,屏東,10004,新竹縣,2
2017H2,68000,桃園,66000,臺中,5
2017H2,10004,新竹縣,10015,花蓮,5
2017H2,65000,新北,10017,基隆,-1
2017H2,63000,臺北,64000,高雄,2
2017H2,67000,臺南,65000,新北,-2
2017H2,67000,臺南,63000,臺北,-3
2017H2,10018,新竹市,63000,臺北,2
2017H2,10004,新竹縣,09020,金門,-2
2017H2,10005,苗栗,10016,澎湖,2
2017H2,66000,臺中,67000,臺南,-1
